feature,importance
num__Maksimum Hız,0.12424597099843437
num__Kilometre,0.09827123437516713
num__Arac_Yasi,0.09593777370226686
cat__Vites Tipi_Düz,0.0935810553885012
num__Uzunluk,0.07910780223822732
num__Genişlik,0.07326762356644431
num__Tork,0.04148148906022751
num__Boş Ağırlığı,0.036525838056088576
cat__Vites Tipi_Yarı Otomatik,0.03466776700634326
num__Boya_Sayisi,0.033247085559674684
num__Aks Aralığı,0.029337038126486338
num__Motor Gücü,0.028046225719441053
num__Yükseklik,0.024605371567942763
num__Minimum Güç,0.023833366320555226
cat__Vites Tipi_Otomatik,0.01632596255627547
num__Bagaj Hacmi,0.015628995331692486
num__Degisen_Sayisi,0.014251734141266273
num__Yakıt Deposu,0.013926588787006542
num__Şehir İçi Yakıt Tüketimi,0.01279242198535234
num__Motor Hacmi,0.01257128461093411
cat__Yakıt Tipi_Dizel,0.010778013453123991
cat__Çekiş_Arkadan İtiş,0.00976958668746052
num__Ortalama Yakıt Tüketimi,0.008932358423599547
cat__Yakıt Tipi_Benzin,0.008852884789179491
cat__Marka_Chevrolet,0.007068699601960371
num__Maksimum Güç,0.0065903228199058455
cat__Çekiş_Önden Çekiş,0.005727122133586486
num__Şehir Dışı Yakıt Tüketimi,0.0055368183217555334
cat__Marka_Mercedes - Benz,0.004704688240190013
cat__Yakıt Tipi_LPG & Benzin,0.0031137310439992506
cat__Marka_Opel,0.002675999005381994
cat__Marka_Citroen,0.002301876859595655
cat__Kasa Tipi_Sedan,0.0021645777306974934
cat__Marka_Audi,0.0020325450992034135
cat__Kimden_Galeriden,0.0019713944906501967
cat__Kimden_Sahibinden,0.0015433216057293775
cat__Marka_Peugeot,0.0015052270562199487
cat__Marka_Volkswagen,0.0013900089784406257
num__Silindir Sayısı,0.0013054213780852454
cat__Marka_Fiat,0.0011893958683214193
cat__Marka_Toyota,0.0010927569562582977
cat__Kasa Tipi_Hatchback/5,0.0007929158772814669
cat__Marka_Ford,0.0006871672262318032
cat__Marka_Honda,0.0005773667091680076
cat__Yakıt Tipi_Hibrit,0.0005596184986275068
cat__Marka_Renault,0.0005399890719137172
cat__Marka_BMW,0.0004731413718976177
cat__Marka_Volvo,0.00046440376586979234
"cat__Kasa Tipi_Sedan, 5 Koltuk",0.00037562254055824925
cat__Marka_Dacia,0.00036911645497469795
cat__Marka_Seat,0.00033987322881093074
cat__Marka_Hyundai,0.00033086579215118195
cat__Takasa Uygun_Takasa Uygun,0.000279566915635983
cat__Takasa Uygun_Takasa Uygun Değil,0.00027783876600221357
"cat__Kasa Tipi_Hatchback/5, 5 Koltuk",0.00024210508070267994
cat__Marka_Skoda,0.0002070178545484276
cat__Garanti Durumu_Garantisi Yok,0.00019040736817555392
cat__Garanti Durumu_Garantisi Var,0.0001821983282117502
cat__Çekiş_4x4,0.00016558609889081192
cat__Garanti Durumu_-,0.00013924676632327937
cat__Takasa Uygun_-,0.00013587553142905474
cat__Aracın ilk sahibiyim_İlk Sahibiyim,0.00011321233868692417
cat__Marka_Kia,8.517721706915786e-05
cat__Aracın ilk sahibiyim_İlk Sahibi Değilim,6.505449876648679e-05
cat__Kasa Tipi_-,5.9820824056476376e-05
cat__Kasa Tipi_Station wagon,5.79166847605146e-05
cat__Marka_Nissan,5.740970137624743e-05
cat__Kasa Tipi_Coupe,5.679521158478027e-05
cat__Kasa Tipi_Hatchback/3,5.53827304519317e-05
cat__Kasa Tipi_MPV,5.459725047676322e-05
num__Koltuk Sayısı,4.7285829305186255e-05
"cat__Kasa Tipi_Station wagon, 5 Koltuk",3.958640422292497e-05
"cat__Kasa Tipi_Hatchback/3, 5 Koltuk",1.9243143809288993e-05
cat__Kimden_Yetkili Bayiden,1.6300623169446153e-05
"cat__Kasa Tipi_MPV, 5 Koltuk",1.531706624234967e-05
"cat__Kasa Tipi_Sedan, 4 Koltuk",1.4071691530004194e-05
cat__Kasa Tipi_SUV,1.1991700707050965e-05
"cat__Kasa Tipi_SUV, 5 Koltuk",1.5341947071641158e-06
"cat__Kasa Tipi_Coupe, 4 Koltuk",0.0
"cat__Kasa Tipi_Coupe, 5 Koltuk",0.0
"cat__Kasa Tipi_MPV, 7 Koltuk",0.0
"cat__Kasa Tipi_Station wagon, 7 Koltuk",0.0
